Designator,Mid X,Mid Y,Rotation,Layer
C1,-245.0051,-112.94,270.0,bottom
C10,-241.3325,-102.095,90.0,bottom
C11,-240.3501,-102.095,90.0,bottom
C2,-241.3764,-58.8561,180.0,bottom
C3,-242.3274,-63.7411,180.0,bottom
C4,-242.2551,-112.94,90.0,bottom
C5,-251.1276,-104.0675,180.0,bottom
C6,-251.1276,-103.085,180.0,bottom
C7,-238.8826,-109.5675,0.0,bottom
C8,-246.0051,-112.94,90.0,bottom
C9,-246.9876,-112.94,90.0,bottom
D1,-385.5376,-41.185,90.0,bottom
D10,-178.4876,-35.285,87.0,bottom
D11,-155.5876,-34.585,90.0,bottom
D12,-132.9512,-37.0373,93.0,bottom
D13,-109.7876,-40.035,93.0,bottom
D14,-86.7876,-40.635,90.0,bottom
D15,-403.0376,-57.585,90.0,bottom
D16,-384.8376,-57.585,90.0,bottom
D17,-363.4376,-57.585,90.0,bottom
D18,-340.58,-54.586,92.0,bottom
D19,-317.4376,-52.235,94.0,bottom
D2,-362.5876,-39.385,87.0,bottom
D20,-295.2651,-57.9941,96.0,bottom
D21,-273.6376,-65.035,98.0,bottom
D22,-252.0376,-73.035,100.0,bottom
D23,-220.1241,-69.6101,80.0,bottom
D24,-198.0376,-62.835,82.0,bottom
D25,-176.2376,-56.435,84.0,bottom
D26,-154.1527,-50.789,86.0,bottom
D27,-131.2951,-53.986,88.0,bottom
D28,-108.8376,-57.585,90.0,bottom
D29,-78.2376,-57.385,90.0,bottom
D3,-339.4376,-35.935,87.0,bottom
D30,-393.0376,-76.635,90.0,bottom
D31,-363.2376,-76.635,90.0,bottom
D32,-341.2376,-73.635,92.0,bottom
D33,-319.0376,-71.235,94.0,bottom
D34,-297.5376,-77.035,96.0,bottom
D35,-276.5079,-83.9011,98.0,bottom
D36,-255.101,-91.6101,100.0,bottom
D37,-217.1876,-88.235,80.0,bottom
D38,-196.0672,-81.4511,82.0,bottom
D39,-174.61,-75.2941,84.0,bottom
D4,-316.3376,-34.735,90.0,bottom
D40,-153.1376,-69.935,86.0,bottom
D41,-130.9451,-72.636,88.0,bottom
D42,-108.4376,-76.735,90.0,bottom
D43,-78.0876,-76.485,90.0,bottom
D44,-392.6376,-95.485,90.0,bottom
D45,-363.2376,-95.585,90.0,bottom
D46,-341.93,-92.586,92.0,bottom
D47,-320.4876,-90.235,94.0,bottom
D48,-299.41,-96.176,96.0,bottom
D49,-278.9376,-103.035,98.0,bottom
D5,-293.9376,-36.435,93.0,bottom
D50,-258.2741,-110.16,100.0,bottom
D51,-213.6376,-106.885,80.0,bottom
D52,-193.1672,-100.2511,82.0,bottom
D53,-172.8376,-94.035,84.0,bottom
D54,-151.5376,-88.835,86.0,bottom
D55,-130.0376,-91.785,88.0,bottom
D56,-88.7376,-95.635,90.0,bottom
D57,-392.9876,-114.585,90.0,bottom
D58,-363.2876,-114.585,90.0,bottom
D59,-342.83,-111.336,92.0,bottom
D6,-271.4876,-45.285,96.0,bottom
D60,-321.7725,-109.339,94.0,bottom
D61,-301.4376,-114.985,96.0,bottom
D62,-281.5172,-121.619,98.0,bottom
D63,-261.8376,-128.835,100.0,bottom
D64,-210.5241,-125.6101,80.0,bottom
D65,-190.8672,-119.0011,82.0,bottom
D66,-170.56,-112.8941,84.0,bottom
D67,-150.6876,-107.835,86.0,bottom
D68,-129.2451,-110.486,88.0,bottom
D69,-108.5876,-114.635,90.0,bottom
D7,-248.8376,-52.085,93.0,bottom
D70,-78.4876,-114.585,90.0,bottom
D71,-366.6376,-144.685,102.0,bottom
D72,-329.4376,-150.285,98.0,bottom
D73,-296.3225,-153.139,94.0,bottom
D74,-235.4376,-154.185,90.0,bottom
D75,-174.8027,-151.689,86.0,bottom
D76,-142.4079,-147.569,82.0,bottom
D77,-105.0306,-140.7711,78.0,bottom
D8,-223.8376,-50.935,87.0,bottom
D9,-201.2876,-43.235,84.0,bottom
F1,-241.0674,-57.6036,0.0,bottom
J1,-244.7911,-42.1886,180.0,bottom
J2,-244.983525,-128.635,0.0,top
R1,-246.6361,-48.8136,0.0,bottom
R2,-243.0411,-48.7011,270.0,bottom
R3,-253.695,-86.335,90.0,bottom
S1,-394.2535,-41.1371,0.0,top
S10,-187.4135,-35.7771,3.0,top
S11,-164.7635,-34.5971,0.0,top
S12,-141.6735,-36.6171,357.0,top
S13,-118.6666,-39.7412,357.0,top
S14,-95.5135,-40.7671,0.0,top
S15,-411.7051,-57.61,0.0,top
S16,-393.4176,-57.61,0.0,top
S17,-372.2951,-57.61,0.0,top
S18,-349.4376,-54.235,358.0,top
S19,-326.6052,-51.5807,356.0,top
S2,-371.3635,-39.9571,3.0,top
S20,-304.4376,-57.235,354.0,top
S21,-282.4376,-63.935,352.0,top
S22,-260.8404,-71.4529,350.0,top
S23,-229.1404,-71.3172,10.0,top
S24,-207.3376,-63.935,8.0,top
S25,-185.3897,-57.366,6.0,top
S26,-163.2252,-51.5994,4.0,top
S27,-140.2645,-54.2723,2.0,top
S28,-117.5476,-57.61,0.0,top
S29,-87.087,-57.61,0.0,top
S3,-348.5035,-36.5771,3.0,top
S30,-401.7951,-76.61,0.0,top
S31,-372.2276,-76.61,0.0,top
S32,-350.1545,-73.2777,358.0,top
S33,-327.9152,-70.6207,356.0,top
S34,-306.3976,-76.235,354.0,top
S35,-285.1481,-82.668,352.0,top
S36,-263.8976,-90.055,350.0,top
S37,-225.7476,-89.805,10.0,top
S38,-204.7981,-82.702,8.0,top
S39,-183.4897,-76.296,6.0,top
S4,-325.1435,-34.6171,0.0,top
S40,-161.9552,-70.4894,4.0,top
S41,-139.7576,-73.135,2.0,top
S42,-117.5076,-76.665,0.0,top
S43,-87.087,-76.61,0.0,top
S44,-401.7951,-95.61,0.0,top
S45,-372.2226,-95.61,0.0,top
S46,-350.7945,-92.2177,358.0,top
S47,-329.3052,-89.5307,356.0,top
S48,-308.3497,-95.224,354.0,top
S49,-287.7276,-101.715,352.0,top
S5,-302.6035,-36.0071,357.0,top
S50,-267.3504,-108.6929,350.0,top
S51,-222.5004,-108.5272,10.0,top
S52,-202.0281,-101.522,8.0,top
S53,-181.4697,-95.106,6.0,top
S54,-160.6052,-89.4494,4.0,top
S55,-138.9145,-92.0523,2.0,top
S56,-97.587,-95.61,0.0,top
S57,-401.7951,-114.61,0.0,top
S58,-372.2226,-114.61,0.0,top
S59,-351.5445,-111.1377,358.0,top
S6,-280.2728,-44.3171,354.0,top
S60,-330.5476,-108.665,356.0,top
S61,-310.3497,-114.104,354.0,top
S62,-290.3581,-120.338,352.0,top
S63,-270.6504,-127.3229,350.0,top
S64,-219.2704,-127.2272,10.0,top
S65,-199.4676,-120.265,8.0,top
S66,-179.5197,-114.036,6.0,top
S67,-159.4052,-108.5294,4.0,top
S68,-138.2676,-111.025,2.0,top
S69,-117.4985,-114.5877,0.0,top
S7,-257.4935,-51.6771,357.0,top
S70,-87.087,-114.61,0.0,top
S71,-375.3276,-142.965,348.0,top
S72,-338.4276,-149.075,352.0,top
S73,-305.2876,-152.525,356.0,top
S74,-244.441,-154.0957,0.0,top
S75,-183.8452,-152.3794,4.0,top
S76,-151.1481,-148.822,8.0,top
S77,-113.7565,-142.7912,12.0,top
S8,-232.4835,-51.2971,3.0,top
S9,-209.9135,-44.2371,6.0,top
SW1,-251.3036,-61.4011,180.0,bottom
U1,-245.0051,-106.8175,90.0,bottom
U2,-245.2911,-56.2886,90.0,bottom
U3,-241.8574,-61.2986,90.0,bottom
